contestId,index,name,type,rating,tags
2225,G,Simple Problem,PROGRAMMING,,"brute force,graphs,greedy,number theory"
2225,F,String Cutting,PROGRAMMING,,"binary search,brute force,greedy,hashing,string suffix structures,strings"
2225,E,Covering Points with Circles,PROGRAMMING,,"constructive algorithms,geometry,math"
2225,D,Exceptional Segments,PROGRAMMING,,"bitmasks,brute force,math"
2225,C,Red-Black Pairs,PROGRAMMING,,"dp,greedy"
2225,B,Alternating String,PROGRAMMING,,"brute force,greedy"
2225,A,A Number Between Two Others,PROGRAMMING,,"chinese remainder theorem,interactive,math,probabilities"
2220,B,OIE Excursion,PROGRAMMING,,greedy
2220,A,Blocked,PROGRAMMING,,"greedy,sortings"
2219,E,Weird Chessboard,PROGRAMMING,,"constructive algorithms,math"
2219,D,MEX Replacement on Tree,PROGRAMMING,,"data structures,implementation,math,trees"
2219,C,Coloring a Red Black Tree,PROGRAMMING,,"dfs and similar,dp,greedy,math,probabilities,trees"
2219,B2,Unique Values (Hard version),PROGRAMMING,,"binary search,bitmasks,constructive algorithms,interactive"
2219,B1,Unique Values (Easy version),PROGRAMMING,,"binary search,constructive algorithms,divide and conquer,interactive,math"
2219,A,Grid L,PROGRAMMING,,"brute force,constructive algorithms,math,number theory"
2218,G,"The 67th Iteration of ""Counting is Fun""",PROGRAMMING,1800,"implementation,math"
2218,F,The 67th Tree Problem,PROGRAMMING,1500,"constructive algorithms,implementation,trees"
2218,E,The 67th XOR Problem,PROGRAMMING,1200,"binary search,bitmasks,brute force"
2218,D,The 67th OEIS Problem,PROGRAMMING,1100,"constructive algorithms,greedy,math,number theory"
2218,C,The 67th Permutation Problem,PROGRAMMING,800,"constructive algorithms,greedy,math"
2218,B,The 67th 6-7 Integer Problem,PROGRAMMING,800,"greedy,math"
2218,A,The 67th Integer Problem,PROGRAMMING,800,"brute force,games,implementation,math"
2217,H,Closer,PROGRAMMING,2800,"dfs and similar,dp,trees"
2217,G,Down the Pivot,PROGRAMMING,2600,"combinatorics,dp,math,trees"
2217,F,Interval Game,PROGRAMMING,2300,"bitmasks,combinatorics,constructive algorithms,dp,games,greedy,math,probabilities"
2217,E,Definitely Larger,PROGRAMMING,2000,"binary search,constructive algorithms,data structures,graphs,greedy,sortings"
2217,D,Flip the Bit (Hard Version),PROGRAMMING,1900,"greedy,implementation,math"
2217,C,Grid Covering,PROGRAMMING,1300,"chinese remainder theorem,math,number theory"
2217,B,Flip the Bit (Easy Version),PROGRAMMING,1000,"greedy,implementation"
2217,A,The Equalizer,PROGRAMMING,800,math
2216,B,THU Packing Puzzle,PROGRAMMING,1300,greedy
2216,A,Course Wishes,PROGRAMMING,900,greedy
2215,G,Maze,PROGRAMMING,3500,trees
2215,F,Research,PROGRAMMING,3500,games
2215,E,Star Map,PROGRAMMING,2700,"constructive algorithms,data structures,geometry,greedy,sortings"
2215,D,"EXPloration, EXPloitation, and Gain Some EXPerience!",PROGRAMMING,2800,"bitmasks,brute force,dp,greedy,implementation"
2215,C,Oriented Journey,PROGRAMMING,2200,"bitmasks,brute force,communication,constructive algorithms,graphs,interactive,trees"
2215,B,RReeppeettiittiioonn,PROGRAMMING,2000,"binary search,brute force,implementation,math,number theory"
2215,A,Interval Mod,PROGRAMMING,1700,"constructive algorithms,dp,greedy,math"
2214,J,Special Problem,PROGRAMMING,,"*special,brute force,games,interactive"
2214,I,You Are a Robot,PROGRAMMING,,*special
2214,H,Double Vision,PROGRAMMING,,*special
2214,G,Anomaly,PROGRAMMING,,"*special,communication"
2214,F,Numbers,PROGRAMMING,,*special
2214,E,Shortest Paths,PROGRAMMING,,"*special,shortest paths"
2214,D,Neural Feud,PROGRAMMING,,"*special,strings"
2214,C,And?,PROGRAMMING,,"*special,bitmasks"
2214,B,Are You Smiling?,PROGRAMMING,,"*special,strings"
2214,A,Odd One Out,PROGRAMMING,,"*special,graph matchings,implementation"
2211,H,Median Deletion,PROGRAMMING,3500,
2211,G,Rational Bubble Sort,PROGRAMMING,2900,"constructive algorithms,geometry,greedy"
2211,F,Learning Binary Search,PROGRAMMING,2400,"combinatorics,divide and conquer,dp,math"
2211,E,Minimum Path Cover,PROGRAMMING,2500,"brute force,dp,greedy,interactive,math,number theory,trees"
2211,D,AND-array,PROGRAMMING,1900,"bitmasks,combinatorics,math"
2211,C2,Equal Multisets (Hard Version),PROGRAMMING,1800,"constructive algorithms,dsu,greedy"
2211,C1,Equal Multisets (Easy Version),PROGRAMMING,1300,"binary search,brute force,greedy,two pointers"
2211,B,Mickey Mouse Constructive,PROGRAMMING,1100,"constructive algorithms,dp,greedy,math"
2211,A,Antimedian Deletion,PROGRAMMING,800,"implementation,math"
2210,F,A Simple Problem,PROGRAMMING,2700,"binary search,data structures,greedy,math,trees"
2210,E,Binary Strings are Simple?,PROGRAMMING,2700,"constructive algorithms,implementation,interactive,number theory"
2210,D,A Simple RBS Problem,PROGRAMMING,2100,"constructive algorithms,math,strings,trees"
2210,C2,A Simple GCD Problem (Hard Version),PROGRAMMING,2100,"dp,greedy,number theory"
2210,C1,A Simple GCD Problem (Easy Version),PROGRAMMING,1200,"greedy,number theory"
2210,B,Simply Sitting on Chairs,PROGRAMMING,900,"data structures,greedy"
